"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"295","seton-hall north-carolina-state 2018",11,1,1,1,11,11,1,0.203496209314493,1.25679012073145,-5.09827352837534,0.229410281363471,-0.879801906378772,0.0823377305304658,0.0379852079946385,-1
"296","clemson new-mexico-state 2018",11,1,1,1,11,11,7,-1.29661338437861,2.15029828462967,-4.85223626399786,-0.277734719791118,2.30368582074596,-0.205147169281345,-0.0548068740544679,-2
"297","auburn college-of-charleston 2018",4,1,1,1,4,4,9,0.297331407256499,3.88800308230408,-5.18554600056381,-1.11692039202799,1.27180066665717,0.11860558607782,-0.0843338101904021,1
"298","texas-christian syracuse 2018",-5,1,1,0,-5,-5,5,0.514453412887835,1.8560395653918,-4.67173154502998,0.131509870625961,-3.81742093631844,0.0124941674789872,0.264695614314439,1
"299","michigan-state bucknell 2018",4,1,1,1,4,4,11,1.92268418034438,6.63589687717919,-5.21235097887152,-1.07785066401081,2.0829266855073,0.192472891035424,0.321312458017358,1
"300","rhode-island oklahoma 2018",5,1,1,1,5,5,3,1.0187779703086,-0.518495619987905,-5.24276878997039,1.12783988461541,0.301495099625624,0.0559352670427979,0.00580547711531096,-1
"301","duke iona 2018",22,1,1,1,22,22,13,2.58667064191699,8.08184693440442,-5.13696680415789,-0.484668613180038,2.89242181928772,0.340717878538439,0.438904326576738,0
"302","kansas seton-hall 2018",4,2,1.5,1,6,8,8,0.832158322388519,1.93687747759067,-5.00713492247194,0.139905753339515,1.13573619802464,-0.129972424668554,0.144228020061772,-1
"303","auburn clemson 2018",31,2,1.5,1,46.5,62,1,0.501130640239586,-0.51560677369363,-5.10402731970452,0.760779128682723,-0.929040266464693,0.10261471762891,0.134305868080874,1
"304","michigan-state syracuse 2018",-2,2,1.5,0,-3,-4,8,2.79853277468934,4.33180526718837,-4.64654572578965,-0.477953786046477,-2.16683599004166,0.0444160620985067,0.428266669740131,3
"305","duke rhode-island 2018",25,2,1.5,1,37.5,50,5,1.71539284343283,4.61326602875988,-4.88354900793479,-0.896491684775924,1.54755483152069,0.202152284103788,0.417928193452503,-1
"306","kansas clemson 2018",4,4,1.75,1,7,16,4,0.802881149518166,1.87059261391823,-5.07109644446226,0.831092761558686,-0.5852151965471,0.0397701247578818,0.290260125397078,0
"307","duke syracuse 2018",4,4,1.75,1,7,16,9,2.60866167319449,4.85380519657898,-4.67391893046786,0.555188830743821,-1.79501614810401,0.133926639247153,0.560665519829218,1
"308","kansas duke 2018",4,8,1.875,1,7.5,32,1,-1.1814612926287,-1.21125910186175,-5.31877103709676,0.238000828994214,-1.21638288018553,-0.248847544532433,-0.207555275990809,-1
"309","virginia maryland-baltimore-county 2018",-20,1,1,0,-20,-20,15,2.15443676385415,9.50978186704031,-5.02299076826788,1.33137087565461,1.90991176675719,-0.00361412031776798,0.158930598046554,-2
"310","creighton kansas-state 2018",-10,1,1,0,-10,-10,1,0.324508514325524,0.24215231871639,-5.20065953327314,0.376948192510246,-4.18246757991208,-0.126878234387519,-0.0393149979703306,-1
"311","kentucky davidson 2018",5,1,1,1,5,5,7,-1.05165858401125,1.23016522401192,-5.58861880581965,-1.211771884267,3.24424624988227,0.176877113111081,-0.209872870533147,1
"312","arizona buffalo 2018",-21,1,1,0,-21,-21,9,0.340722797542838,3.15236774064618,-5.15284358393612,-0.417017789142203,0.077268980044618,0.082845053117097,0.0931186804918262,1
"313","miami-fl loyola-il 2018",2,1,1,1,2,2,5,-1.14576700150967,0.645941392959187,-5.53159210526316,1.29656328406901,0.959758815670092,0.162068296623917,-0.0674351634314092,-1
"314","tennessee wright-state 2018",26,1,1,1,26,26,11,0.584301797868573,6.25362764640262,-4.8102238908081,0.513475341806582,3.0264109602547,0.10864668589457,0.220857788427387,1
"315","nevada texas 2018",4,1,1,1,4,4,3,1.59669166371235,0.108828294782993,-4.65880920155844,1.02272937639641,-1.20872492499153,-0.050230430354229,0.309580198202249,-1
"316","cincinnati georgia-state 2018",15,1,1,1,15,15,13,2.12565859520787,5.73686166110884,-5.1390476629743,0.107483962246428,0.347445996418463,0.217172381919974,0.13084429220294,2
"317","kansas-state maryland-baltimore-county 2018",7,2,1.5,1,10.5,14,7,0.166353968898651,5.92059625873264,-4.99992107105315,-0.0842615174006545,1.35032721342837,0.00996120845215973,0.14266013095963,-1
"318","kentucky buffalo 2018",20,2,1.5,1,30,40,8,-0.497644443966302,3.25552473430957,-5.19846319951338,-0.479835055730136,0.952946587905386,0.0387808097773848,-0.100663784568134,-1
"319","tennessee loyola-il 2018",-1,2,1.5,0,-1.5,-2,8,-0.582656066392653,2.81159980481648,-5.54010265513285,0.9280583397705,2.06355602653715,0.253926212985614,-0.0417774257386352,0
"320","cincinnati nevada 2018",2,2,1.5,1,3,4,5,1.64796905044439,2.11130362434134,-5.23261458536278,-0.499737910368046,3.0450474745044,0.126105204110232,-0.0495324490377286,4
"321","kentucky kansas-state 2018",-3,4,1.75,0,-5.25,-12,4,0.0316578548610167,0.787174889892679,-5.23501985458613,-0.339414876620945,-0.603163774382624,0.137109936420662,-0.0748486730241861,0
"322","nevada loyola-il 2018",1,4,1.75,1,1.75,4,4,-0.0845959087474899,1.44948506764468,-5.5157141338842,1.98484341952573,0.912194973685517,0.177570276265089,0.18786238352308,-3
"323","kansas-state loyola-il 2018",16,8,1.875,1,30,128,2,-1.15886091532431,1.26499043184973,-5.51468858471683,0.90478825741165,1.86545364461507,0.0887958320982616,0.0207845325863556,-1
"324","villanova mount-st-marys 2017",20,1,1,1,20,20,15,3.78323656776903,9.85573036317514,-4.75185723567934,1.24461942244906,1.11725689178613,0.165951936876379,0.629905234883835,-1
"325","wisconsin virginia-tech 2017",10,1,1,1,10,10,1,1.55518957000621,3.02890492670845,-5.49289696327984,0.906421943892203,4.24284031444349,0.183869444405832,0.136232227003595,0
"326","virginia north-carolina-wilmington 2017",5,1,1,1,5,5,7,0.335440094990505,4.8415278536411,-5.30798323676138,-0.633778435898563,2.40257423667075,-0.0777218361781326,-0.227112370599748,2
"327","florida east-tennessee-state 2017",15,1,1,1,15,15,9,0.290784213972182,4.80597343757099,-5.33580669055146,1.32592168266014,-1.26246743108681,0.0136890743166364,-0.0168840005803954,0
"328","southern-methodist southern-california 2017",-1,1,1,0,-1,-1,5,2.71361763109437,3.56661943425794,-5.02682208673848,0.209978328519815,-0.916932136713173,0.107236991070361,0.183777972786339,-2
"329","baylor new-mexico-state 2017",18,1,1,1,18,18,11,-0.412400618125504,4.99930040212459,-5.16019065646801,-0.0433435775298854,1.85442587630329,0.0791135669635678,0.00106744636494902,0
"330","south-carolina marquette 2017",20,1,1,1,20,20,3,0.458917249788066,1.10611537186604,-5.60401872971636,-0.267987832776669,1.24600510539503,0.131676987211395,-0.257332710396544,0
"331","duke troy 2017",22,1,1,1,22,22,13,1.49051772443725,7.56143222437921,-5.08337107008282,1.39157181832019,0.21058325593261,0.0254126070542789,0.266231860428424,-2
"332","villanova wisconsin 2017",-3,2,1.5,0,-4.5,-6,7,1.17626629147692,1.32665484007406,-4.91478247713272,-0.243719444979416,-0.00910363704674388,-0.0385613604611732,0.189619052284966,-1
"333","florida virginia 2017",26,2,1.5,1,39,52,1,-0.0729345119940108,-0.207696666933941,-4.98503968525744,-0.662564612792081,0.128476736157616,0.0938987911218623,0.0515616754025821,-1
"334","baylor southern-california 2017",4,2,1.5,1,6,8,8,0.905133205428059,2.88881006950585,-5.04787817441477,-1.52287233228809,-1.04373005647065,0.15528676184937,-0.100208490656109,1
"335","duke south-carolina 2017",-7,2,1.5,0,-10.5,-14,5,0.741398439025337,1.12065046515131,-4.672540783571,0.949970468927623,-1.90182484755745,-0.0529151899055284,0.364321772869229,-2
"336","florida wisconsin 2017",1,4,1.75,1,1.75,4,4,-0.0980801666349533,0.00589373261679071,-4.98038114552844,-0.360581893087784,0.717051528761596,-0.0214795684287206,-0.0780989018887023,1
"337","baylor south-carolina 2017",-20,4,1.75,0,-35,-80,4,0.197248489760144,0.543875898902154,-4.70056374255666,-0.7878715226928,-1.02512575354091,0.127168550328734,0.149437665131332,0
"338","florida south-carolina 2017",-7,8,1.875,0,-13.125,-56,3,0.478936840890776,1.01422207672987,-4.70821031315761,0.203159361575967,0.110033576826801,-0.0237491426743229,0.158094568170441,0
