,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth5,ModelNoSOS,SOS,Model
30,nevada,10,6.166133009,4.672851339,5.817652063,-6.474823018,9.881675562,0.449202934,1.728247839,8,6.5,187.2872488,0,84.70188164
66,boise-state,10,5.957935639,4.718659784,5.667688966,-7.016013209,7.898981268,0.56891005,1.653094965,8,6.5,182.7375634,0,82.64425671
31,mississippi-state,8,5.335048186,4.813252826,5.501778351,-7.79148753,10.89762733,0.649872917,1.645524542,9,7,179.7525503,0,81.29426503
13,washington-state,7,5.830168666,4.723025927,5.571084543,-6.780858035,9.644540368,0.603797976,1.716700185,8,6.5,178.9842455,0,80.94679416
29,dayton,7,6.127662159,4.836255731,5.979294813,-6.632376368,9.700477164,0.445541753,1.812436579,7,6,177.8096474,0,80.41557451
27,clemson,6,5.249347788,4.786434306,5.810974594,-6.386110383,8.37131213,0.488072373,1.69465435,9,7,175.8796083,0,79.54270173
15,florida-atlantic,8,5.732069616,4.367060299,5.818639906,-6.741750325,9.133215166,0.547579151,1.778217743,9,7,175.2260556,0,79.24712822
43,texas-tech,6,5.333446371,5.052602548,5.745882607,-7.105071504,7.390534108,0.497418324,1.615838529,8,6.5,175.1606007,0,79.21752584
63,utah-state,8,6.076769147,4.252558258,5.900496512,-6.941373255,10.33009267,0.460395835,1.774683827,8,6.5,167.9717963,0,75.96634209
62,colorado-state,10,5.61721059,4.223340492,5.881152597,-6.498831484,9.189841465,0.404691598,1.682229017,9,7,166.0637505,0,75.10341592
48,texas-am,9,5.124534282,4.594354798,5.155236735,-5.676917496,9.904453196,0.762182824,1.683356646,9,7,164.8075007,0,74.53526871
26,grand-canyon,12,6.688711045,3.185478274,5.716607355,-7.295732853,12.55549374,0.579585488,1.755937812,10,7.5,159.8005779,0,72.27085518
45,florida,7,5.209680229,4.679887979,5.500420354,-6.3153777,9.889683782,0.551873004,1.743429855,8,6.5,158.4746792,0,71.67120883
14,drake,10,6.178235202,3.609142606,5.899887006,-5.882993761,7.1504482,0.413301579,1.722126151,9,7,156.0869233,0,70.59133063
59,south-carolina,6,5.089829137,4.034577834,5.44253304,-6.096997506,7.753869586,0.522725217,1.585269704,10,7.5,154.0148386,0,69.65421679
42,james-madison,12,7.183243975,3.027440904,5.832891961,-6.253109567,10.65016457,0.5414283,1.850579116,9,7,152.2279265,0,68.8460741
60,oregon,11,4.981541055,4.609776065,5.532235915,-6.319034674,10.49707718,0.535523417,1.725809054,8,6.5,149.2646267,0,67.50590243
55,kansas,4,5.151244074,5.190734318,5.686499436,-7.777607282,10.29913975,0.451720962,1.569499606,6,5.5,147.0630667,0,66.51023253
58,mcneese-state,12,8.22262027,2.547248762,5.860783673,-6.047575626,14.27019215,0.60212445,1.968363958,9,7,146.6154151,0,66.30777919
16,northwestern,9,5.350522105,4.483376788,5.632049659,-5.364128792,9.985495596,0.464089333,1.767180363,7,6,143.9304397,0,65.0934815
44,north-carolina-state,11,4.982072166,4.089058794,5.484519231,-5.816697614,10.43154489,0.513456405,1.7154084,8,6.5,132.417909,0,59.88686432
12,duquesne,11,5.32117915,2.907463449,5.456651786,-7.269735161,12.26258623,0.504977051,1.592400937,10,7.5,116.0335041,0,52.47691019
56,samford,13,6.450761329,2.169066133,6.011965748,-7.822639432,12.59207,0.505060009,1.846573813,11,8,111.9370235,0,50.62425004
24,college-of-charleston,13,5.884834494,1.954418451,5.660553435,-5.949196751,8.581233816,0.575069318,1.77328075,10,7.5,86.26071838,0,39.01197335
8,yale,13,5.892594925,2.028250723,5.587186047,-6.007792334,8.918664617,0.465559358,1.726502559,8,6.5,77.68578947,-0.61,32.88267858
10,alabama-birmingham,12,4.63515069,1.898380556,5.554801572,-6.929241983,10.63415366,0.604214524,1.709803276,8,6.5,57.19531963,3.62,35.70292161
40,vermont,13,5.985674738,1.173206253,5.594384257,-5.751245459,9.635585204,0.403470242,1.653951572,10,7.5,52.66823272,-3.9,14.06154242
54,akron,14,5.803876814,1.223030071,5.66572921,-7.133763061,8.155456334,0.48968589,1.570837469,9,7,49.68821109,-2.52,16.52339561
6,morehead-state,14,7.062210537,0.969635776,5.80159202,-7.555431956,10.21638392,0.626568147,1.778855311,8,6.5,44.51051797,-6.08,7.273927877
38,oakland,14,4.74504402,0.959400826,5.580485476,-6.967944582,9.094716016,0.519336851,1.638490688,9,7,31.86679405,-1.9,11.53562806
36,western-kentucky,15,5.510409909,0.740713726,5.634386035,-7.428338744,9.470493299,0.489745873,1.592426477,9,7,28.57145379,-3.4,8.306759962
4,south-dakota-state,15,5.259525931,0.634834561,5.855110309,-6.888824265,9.441637175,0.42348619,1.648936541,8,6.5,21.70303741,-3.16,6.557307266
22,colgate,14,5.890492868,0.272927682,5.635553164,-7.019060899,9.780564834,0.430916726,1.606949791,10,7.5,12.05758922,-6.09,1.964728314
20,long-beach-state,15,4.459727322,0.224728925,5.436687923,-7.484770271,11.63886571,0.560535688,1.595957466,8,6.5,6.514493228,-1.59,2.454153506
34,longwood,16,5.582423536,-0.238055551,5.401810013,-7.400864261,9.259765005,0.672761459,1.584443583,8,6.5,-8.638024934,-5.58,-1.616808468
52,saint-peters,15,4.714797713,-0.75234871,5.008096921,-7.608899647,11.66812284,0.617326914,1.408882789,9,7,-24.83020384,-6,-4.152129098
50,montana-state,16,4.328746354,-1.170292522,5.763490733,-7.316191728,9.601069783,0.365098026,1.535091622,7,6,-30.39539693,-3.9,-8.115065594
2,stetson,16,4.798532212,-1.303346546,5.806665303,-6.645840554,7.758359522,0.496031872,1.669612288,9,7,-43.77905269,-3.87,-11.7506721
18,wagner,16,4.506119725,-3.124886585,4.899157175,-6.184059429,8.228968816,0.534999841,1.348014076,7,6,-84.48667849,-9.52,0
