"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"129","texas-am penn-state 2023",-17,1,1,0,-17,-17,3,0.458100975726119,0.0751039096541906,-5.30649066187817,-1.52691056973634,2.81328193288135,0.297986180456082,-0.0972432499745986,1
"130","texas colgate 2023",20,1,1,1,20,20,13,-0.0192305186748367,5.38541664198926,-5.48592369745199,-0.112931521367535,1.33521470784539,0.0729137591442367,-0.203146884899111,1
"131","arizona-state nevada 2023",25,1,1,1,25,25,0,-0.545478759509129,0.21460541250584,-5.12454226834737,-0.0121617836668069,2.81720039916084,0.127889654409681,-0.0634868068363327,0
"132","mississippi-state pittsburgh 2023",-1,1,1,0,-1,-1,0,-0.350917178322392,0.48252655604763,-5.27757749922992,-0.741178417741075,3.29654903740095,0.128194545466866,-0.220337676773544,1
"133","texas-southern fairleigh-dickinson 2023",-23,1,1,0,-23,-23,0,-1.31541643264957,0.261958971521482,-5.00653634577603,-1.66916136647263,0.0559599479152926,-0.0552047823496609,-0.434049485115239,1
"134","notre-dame rutgers 2022",2,1,1,1,2,2,0,0.705005377055287,0.0579699234141136,-4.70447253716516,0.739919673318376,-5.09604829135143,-0.118937420239434,0.0171786427746078,0
"135","alabama notre-dame 2022",-14,1,1,0,-14,-14,5,-0.501720852079706,1.58885516090816,-5.17355735631896,-1.60808038590684,4.40523387729938,0.210400445700585,0.0375103995567471,1
"136","gonzaga georgia-state 2022",21,1,1,1,21,21,15,3.01741249385958,7.68359112781492,-4.43711987556524,-0.495163154471951,-2.39355644258263,-0.159264902009424,0.411459407742256,0
"137","boise-state memphis 2022",-11,1,1,0,-11,-11,NA,0.786831819845666,0.232205218257684,-5.06505360020715,2.32729490942736,-4.44048185924567,-0.146981106594222,-0.0423146298745776,-3
"138","connecticut new-mexico-state 2022",-7,1,1,0,-7,-7,NA,0.714665638467492,3.75628892431172,-5.0115752782808,1.52817948462941,2.39875453844021,0.0445804471968087,0.243738777496032,-2
"139","arkansas vermont 2022",4,1,1,1,4,4,NA,-1.70645393939709,2.47738599505951,-5.41394634736904,-0.769350192578805,3.20884019389823,0.103869404947322,-0.212096022392727,-3
"140","texas-tech montana-state 2022",35,1,1,1,35,35,NA,0.85884103415393,5.94837499376775,-5.32751195255109,-0.431312926897382,3.56792240287826,0.0770420971418845,0.00803583123484266,0
"141","michigan-state davidson 2022",1,1,1,1,1,1,NA,-1.62512185018752,0.579703817887162,-5.45695906215316,-1.78696160787598,2.87605777900905,0.133530922351824,-0.183164696735817,1
