Game ID,Year,Region,Round,Game Location,Better Seed,Team - Better Seed,Spread,Over/Under Total,Worse Seed,Team - Worse Seed,Better Seed - Score,Worse Seed - Score,Game Winner - Team,Game Winner - Seed,Better Seed vs. Spread,Better Seed vs. Spread (Points),O/U,O/U Margin,Margin of Victory,Total Points Scored,Better Seed Conference,Worse Seed - Conference,Better Seed Ken Pom,Worse Seed Ken Pom,Better Seed and Worse Ken Pom?,Ken Pom Ranking Margin,KP EM Diff,Better Seed KP Expected Margin,Worse Seed KP Expected Marg.,Better Seed Adj Off. Eff Rank,Worse Seed Adjusted Off Eff. Rank,Better Seed Adj. Def Eff. Rank,Worse Seed Adjusted Def. Rank,Futures Better to F4,Futures Worse to F4,
436,2015,West,2) Second Round,Omaha,1,Wisconsin,-12.5,143.5,8,Oregon,72,65,Wisconsin,Better Seed,Loss,5.5,UNDER,-6.5,7,137,Big Ten,Pac-12,2,52,No,50,20.1,33.32,13.22,1,25,16,122,,,
437,2015,West,2) Second Round,Jacksonville,4,North-Carolina,-5,158,5,Arkansas,87,78,North Carolina,Better Seed,Win,-4,OVER,7,9,165,ACC,SEC,11,29,No,18,6.72,23.79,17.07,12,23,26,65,,,
438,2015,West,2) Second Round,Jacksonville,6,Xavier,-6,133,14,Georgia-State,75,67,Xavier,Better Seed,Win,-2,OVER,9,8,142,Big East,Sun Belt,24,72,No,48,8.74,18.63,9.89,18,52,55,127,,,
439,2015,West,2) Second Round,Portland,2,Arizona,-10,140,10,Ohio-State,73,58,Arizona,Better Seed,Win,-5,UNDER,-9,15,131,Pac-12,Big Ten,3,17,No,14,11.33,32.36,21.03,11,16,3,29,,,
440,2015,West,3) Sweet 16,Los Angeles,1,Wisconsin,-6,145.5,4,North-Carolina,79,72,Wisconsin,Better Seed,Win,-1,OVER,5.5,7,151,Big Ten,ACC,2,11,No,9,9.53,33.32,23.79,1,12,16,26,,,
441,2015,West,3) Sweet 16,Los Angeles,2,Arizona,-11.5,139,6,Xavier,68,60,Arizona,Better Seed,Loss,3.5,UNDER,-11,8,128,Pac-12,Big East,3,24,No,21,13.73,32.36,18.63,11,18,3,55,,,
442,2015,West,4) Elite 8,Los Angeles,1,Wisconsin,1.5,132,2,Arizona,85,78,Wisconsin,Better Seed,Win,-8.5,OVER,31,7,163,Big Ten,Pac-12,2,3,No,1,0.96,33.32,32.36,1,11,16,3,,,
443,2015,East,1) Round of 64,Pittsburgh,1,Villanova,-22,145,16,Lafayette,93,52,Villanova,Better Seed,Win,-19,PUSH,0,41,145,Big East,Patriot,4,187,No,183,32.65,30.94,-1.71,4,42,11,336,,,
444,2015,East,1) Round of 64,Pittsburgh,8,North-Carolina-State,-2.5,139.5,9,LSU,66,65,North Carolina State,Better Seed,Loss,1.5,UNDER,-8.5,1,131,#N/A,SEC,37,48,No,11,1.4,15.36,13.96,29,74,78,35,,,
445,2015,East,1) Round of 64,Seattle,5,Northern-Iowa,-6.5,110.5,12,Wyoming,71,54,Northern Iowa,Better Seed,Win,-10.5,OVER,14.5,17,125,Missouri Valley,Mountain West,18,99,No,81,14.48,20.87,6.39,19,157,27,73,,,
446,2015,East,1) Round of 64,Seattle,4,Louisville,-8.5,123,13,UC-Irvine,57,55,Louisville,Better Seed,Loss,6.5,UNDER,-11,2,112,ACC,Big West,19,95,No,76,13.58,20.44,6.86,78,126,6,88,,,
447,2015,East,1) Round of 64,Columbus,6,Providence,-2.5,130,11,Dayton,53,66,Dayton,Worse Seed,Loss,15.5,UNDER,-11,13,119,Big East,Atlantic 10,27,43,No,16,3.42,17.56,14.14,38,70,42,40,,,
448,2015,East,1) Round of 64,Columbus,3,Oklahoma,-13,131.5,14,Albany,69,60,Oklahoma,Better Seed,Loss,4,UNDER,-2.5,9,129,Big 12,America East,10,134,No,124,20.97,24.04,3.07,49,115,4,162,,,
449,2015,East,1) Round of 64,Charlotte,7,Michigan-State,-5.5,127,10,Georgia,70,63,Michigan State,Better Seed,Win,-1.5,OVER,6,7,133,Big Ten,SEC,16,36,No,20,5.65,21.05,15.4,15,66,34,25,,,
450,2015,East,1) Round of 64,Charlotte,2,Virginia,-17,122,15,Belmont,79,67,Virginia,Better Seed,Loss,5,OVER,24,12,146,ACC,Ohio Valley,5,148,No,143,29.41,30.92,1.51,17,71,2,246,,,
451,2015,East,2) Second Round,Pittsburgh,1,Villanova,-9.5,138.5,8,North-Carolina-State,68,71,North Carolina State,Worse Seed,Loss,12.5,OVER,0.5,3,139,Big East,#N/A,4,37,No,33,15.58,30.94,15.36,4,29,11,78,,,
452,2015,East,2) Second Round,Seattle,4,Louisville,2,119,5,Northern-Iowa,66,53,Louisville,Better Seed,Win,-15,PUSH,0,13,119,ACC,Missouri Valley,19,18,Yes,-1,-0.43,20.44,20.87,78,19,6,27,,,
453,2015,East,2) Second Round,Columbus,3,Oklahoma,-4,129.5,11,Dayton,72,66,Oklahoma,Better Seed,Win,-2,OVER,8.5,6,138,Big 12,Atlantic 10,10,43,No,33,9.9,24.04,14.14,49,70,4,40,,,
454,2015,East,2) Second Round,Charlotte,2,Virginia,-4.5,117.5,7,Michigan-State,54,60,Michigan State,Worse Seed,Loss,10.5,UNDER,-3.5,6,114,ACC,Big Ten,5,16,No,11,9.87,30.92,21.05,17,15,2,34,,,
