,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth5,ModelNoSOS,SOS,Model,Points Model,1st game Winning Margin,Red_Lm,Red_lm2
12,duquesne,11,5.32117915,2.907463449,5.456651786,-7.269735161,12.26258623,0.504977051,1.592400937,10,7.5,94.06079241,4.05,86.96049854,4.45497959,,17.39373428,1.791464991
42,james-madison,12,7.183243975,3.027440904,5.832891961,-6.253109567,10.65016457,0.5414283,1.850579116,9,7,201.6663371,-4.81,64.71245224,3.315213905,,16.61564748,-3.228659239
56,samford,13,6.450761329,2.169066133,6.011965748,-7.822639432,12.59207,0.505060009,1.846573813,11,8,154.9429302,-3.72,61.22563507,3.136584532,,12.07090461,-10.63449454
8,yale,13,5.892594925,2.028250723,5.587186047,-6.007792334,8.918664617,0.465559358,1.726502559,8,6.5,96.40049767,-0.61,58.51814088,2.997879815,,11.52876528,-15.31807997
24,college-of-charleston,13,5.884834494,1.954418451,5.660553435,-5.949196751,8.581233816,0.575069318,1.77328075,10,7.5,109.2242887,-2.87,49.48509525,2.535117588,,11.24451104,-15.43666718
54,akron,14,5.803876814,1.223030071,5.66572921,-7.133763061,8.155456334,0.48968589,1.570837469,9,7,83.81825336,-2.52,39.97331691,2.047829922,,7.188665772,-31.87981898
58,mcneese-state,12,8.22262027,2.547248762,5.860783673,-6.047575626,14.27019215,0.60212445,1.968363958,9,7,243.6304283,-7.26,37.51228402,1.921751399,,14.76690773,-0.181480954
40,vermont,13,5.985674738,1.173206253,5.594384257,-5.751245459,9.635585204,0.403470242,1.653951572,10,7.5,96.97055547,-3.9,37.12869963,1.9021004,,8.236844073,-27.24139905
10,alabama-birmingham,12,4.63515069,1.898380556,5.554801572,-6.929241983,10.63415366,0.604214524,1.709803276,8,6.5,36.56216581,3.62,32.73111644,1.676812555,,12.26876514,-6.249179723
6,morehead-state,14,7.062210537,0.969635776,5.80159202,-7.555431956,10.21638392,0.626568147,1.778855311,8,6.5,120.1229669,-6.08,28.15256908,1.442253929,,6.213097738,-21.41620731
36,western-kentucky,15,5.510409909,0.740713726,5.634386035,-7.428338744,9.470493299,0.489745873,1.592426477,9,7,63.41664026,-3.4,26.44162807,1.354602554,,4.091747845,-35.17424743
4,south-dakota-state,15,5.259525931,0.634834561,5.855110309,-6.888824265,9.441637175,0.42348619,1.648936541,8,6.5,48.700974,-3.16,21.1022276,1.081065482,,3.684113058,-42.70166105
38,oakland,14,4.74504402,0.959400826,5.580485476,-6.967944582,9.094716016,0.519336851,1.638490688,9,7,36.40764202,-1.9,18.90083817,0.968288472,,6.173693179,-26.79703575
22,colgate,14,5.890492868,0.272927682,5.635553164,-7.019060899,9.780564834,0.430916726,1.606949791,10,7.5,73.26749529,-6.09,17.12138942,0.877127451,,3.530771574,-34.77979191
34,longwood,16,5.582423536,-0.238055551,5.401810013,-7.400864261,9.259765005,0.672761459,1.584443583,8,6.5,45.86620206,-5.58,12.31182806,0.630733996,,-0.916513873,-38.35208679
20,long-beach-state,15,4.459727322,0.224728925,5.436687923,-7.484770271,11.63886571,0.560535688,1.595957466,8,6.5,19.03983573,-1.59,10.28655434,0.52697938,,2.105206362,-30.85728196
2,stetson,16,4.798532212,-1.303346546,5.806665303,-6.645840554,7.758359522,0.496031872,1.669612288,9,7,17.19098475,-3.87,6.617329238,0.339005263,,-5.017884202,-57.39837114
52,saint-peters,15,4.714797713,-0.75234871,5.008096921,-7.608899647,11.66812284,0.617326914,1.408882789,9,7,20.4465964,-6,4.903398931,0.251200747,,-1.656542533,-34.04712444
50,montana-state,16,4.328746354,-1.170292522,5.763490733,-7.316191728,9.601069783,0.365098026,1.535091622,7,6,8.107776634,-3.9,3.1043568,0.159035958,,-4.505626211,-60.52603395
70,howard,16,4.284149227,-2.496336722,5.762462072,-8.74562249,8.038890701,0.561354568,1.421112757,9,7,2.767438528,-7.84,0.316753049,0.016227234,,-9.610896378,-68.25914746
18,wagner,16,4.506119725,-3.124886585,4.899157175,-6.184059429,8.228968816,0.534999841,1.348014076,7,6,0,-9.52,0,0,,-12.03081335,-61.64806052
72,grambling,16,3.834317727,-2.613474787,5.350269767,-8.285238478,10.00150079,0.519158267,1.426336319,9,7,0,-6.43,0,0,,-10.06187793,-56.86815742
