Rank,teams,seed,ws.40,aBPM,depth,SOS,depth_adj,SOS_adj,Model,Model^(1/4.15)
46,vanderbilt 2025,10,4.954050192,4.635704603,10,10.19,7.5,20.23,1253.581448,5.578825594
47,memphis 2025,5,5.349358329,3.98818683,9,5.71,7,15.75,900.6225238,5.151551254
48,drake 2025,11,7.082134158,3.382598391,10,0.07,7.5,10.11,859.8822063,5.094408025
49,mcneese-state 2025,12,6.939160942,3.008796126,10,-2.29,7.5,7.75,640.5440502,4.745444165
50,liberty 2025,12,6.851353478,2.758424156,9,-1.26,7,8.78,505.4994489,4.482279772
51,saint-francis-pa 2025,16,3.931296965,-3.634779988,10,-7.17,7.5,2.87,456.2844366,4.373002001
52,yale 2025,13,6.698677522,2.436400227,8,-3.66,6.5,6.38,341.2893939,4.07747244
53,lipscomb 2025,14,6.872152424,2.175613798,9,-4.87,7,5.17,291.3251736,3.924876786
54,high-point 2025,13,7.005177755,1.956684023,11,-5.78,8,4.26,266.6625234,3.842104323
55,alabama-state 2025,16,4.162171266,-2.536138466,11,-9.04,8,1,214.1686287,3.644415769
56,grand-canyon 2025,13,6.102652073,1.888260883,9,-3.08,7,6.96,203.7661451,3.6009522
57,mount-saint-marys 2025,16,4.144910983,-2.022539699,10,-7.31,7.5,2.73,147.8410295,3.333052569
58,american 2025,16,4.386888348,-1.93026402,10,-6.56,7.5,3.48,147.804672,3.332855039
59,troy 2025,14,5.931949711,1.302801316,12,-2.66,8.5,7.38,115.4997961,3.14056309
60,southern-illinois-edwardsville 2025,16,5.348242293,-1.634512371,10,-8.455,7.5,1.585,114.8294147,3.136160999
61,akron 2025,13,6.00394908,1.095536945,11,-4.36,8,5.68,74.80545926,2.828460976
62,norfolk-state 2025,16,5.645711938,-0.889406498,10,-7.49,7.5,2.55,38.54442767,2.410790226
63,north-carolina-wilmington 2025,14,6.053714763,0.715125008,10,11.38,7.5,21.42,36.76800522,2.383535932
64,bryant 2025,15,5.628390585,-0.356833214,9,-7.6,7,2.44,5.734839715,1.523267629
65,robert-morris 2025,15,5.322448539,0.200153923,9,-5.78,7,4.26,1.855022434,1.160546242
66,montana 2025,14,4.830795066,-0.159767314,10,-2,7.5,8.04,1.264282575,1.05813422
67,wofford 2025,15,5.311994456,0.147521836,10,-3.01,7.5,7.03,1.161648645,1.036765823
68,nebraska-omaha 2025,15,4.637368594,0.05933886,9,-2.89,7,7.15,0.153530251,0.636652075
