"","teams","finalFourTeam","seed","ws.40","aBPM","TS","TOV","StlBlk","OR","PER","depth"
"349","saint-marys-ca 2017",0,7,7.59951418618472,6.99742370922141,6.01279497532526,-7.79737593755881,7.63976913345983,0.582995270332216,1.90123270730979,8
"350","virginia-commonwealth 2017",0,10,5.60435477595148,4.37488224758574,5.4715987460815,-7.55784687182308,10.800414997138,0.53398645379124,1.63960318102494,10
"351","arizona 2017",0,2,6.64253653833241,6.84023880958932,5.82891969751531,-7.21691271520762,8.41054570259209,0.520989392065709,1.84678229816236,9
"352","north-dakota 2017",0,15,5.44766429906517,0.0121429529415739,5.78285772690106,-7.83520291434345,9.64335561715311,0.473389829062425,1.69142704157425,8
"353","kansas 2017",0,1,6.44414220798589,8.43646220694749,5.88427569273939,-7.35717198421936,9.5162593297234,0.602956980730627,1.89893321626509,7
"354","california-davis 2017",0,16,4.10536966110519,-1.02588789014144,5.32694879390605,-8.75937092879252,8.52706374085684,0.505257210425888,1.34885128955613,8
"355","miami-fl 2017",0,8,5.07754738191352,5.30587331167625,5.47552325581395,-8.19103481474701,10.1985006119951,0.553451724778597,1.63222574415737,8
"356","michigan-state 2017",0,9,4.66929586861816,5.0530366502944,5.6266929788118,-8.88897274906684,8.18941541186891,0.492991363483597,1.55124067232886,10
"357","iowa-state 2017",0,5,5.7771124410078,6.93871844385441,5.76139367816092,-6.12219876337157,10.0839812712826,0.451308940179619,1.81382594075394,9
"358","nevada 2017",0,12,5.80182658494926,4.05525972068723,5.61341417203486,-6.8926891184741,9.46264819091609,0.538408520044208,1.78465387320406,7
"359","purdue 2017",0,4,6.37710009842085,7.25899224499578,5.9428335832084,-7.88211231735868,6.85922473738719,0.536207284073273,1.72750038972794,8
"360","vermont 2017",0,13,6.58914746142402,2.97094687424289,5.82416932907348,-7.41570506982316,9.79662625967577,0.54457211600141,1.81628991910692,10
"361","creighton 2017",0,6,5.55466780217152,5.98459460701333,5.97201584158416,-8.20897849635054,7.99769497947584,0.316441085155554,1.71935560012406,9
"362","rhode-island 2017",0,11,5.83980733145111,4.90215075309928,5.40744630071599,-6.77976809091116,12.0422331501302,0.569531326042247,1.72306550370059,10
"363","oregon 2017",1,3,6.88383369718185,7.43027123223912,5.85151933701657,-7.31150018054732,12.6531826133764,0.560388334767588,1.93966641942403,8
"364","iona 2017",0,14,4.72561429562325,0.999387734575544,5.72393027522936,-7.15228151418337,8.51673231218089,0.458923517592949,1.6932274637004,9
"365","michigan 2017",0,7,6.16824681421865,7.21221998658618,6.08100108420672,-6.30391262969299,8.30300469483568,0.406517773306506,1.8952327297116,8
"366","oklahoma-state 2017",0,10,5.54834171126936,6.56863420703988,5.82986212179242,-7.51983995064621,9.10021645021645,0.647296080746861,1.87238859891692,9
"367","louisville 2017",0,2,6.59013075277465,8.25550572913168,5.49918435289222,-6.59221916449109,12.0734935948126,0.684654096066497,1.84987288499261,9
"368","jacksonville-state 2017",0,15,4.51904108028561,-0.213013453135535,5.7052661934339,-8.66496851844533,8.41635607577391,0.567169784625292,1.57241039077156,8
"369","north-carolina 2017",1,1,6.57956799903394,8.59532084640646,5.51292317110499,-6.92503478262792,9.75869731800766,0.724072905374125,1.84950168797503,11
"370","texas-southern 2017",0,16,4.60520011493632,-1.42286771579751,5.43132750397456,-7.19334562065835,9.14411078717201,0.682607430022465,1.65017610564347,10
"371","arkansas 2017",0,8,5.06490035169988,5.06216295427902,5.62281710914454,-7.19588120061101,11.3626025791325,0.545391266119578,1.76682737397421,9
"372","seton-hall 2017",0,9,4.82640974729242,4.90785198555957,5.3555431515672,-7.97484826428733,8.65265273311897,0.650087319494585,1.63398804151625,7
"373","minnesota 2017",0,5,5.31804739319592,5.38941320162613,5.30280502634779,-6.79893202689164,11.311131059246,0.495059687254832,1.65354628771129,8
"374","middle-tennessee 2017",0,12,6.59077814876646,4.02714338712669,5.72402410575428,-6.66621223851434,9.16831568257653,0.542949220923762,1.82988411240957,9
"375","butler 2017",0,4,5.78100518083584,6.57127251196526,5.90221153846154,-6.61349782974393,8.71339164530237,0.469586322593378,1.76824512754724,9
"376","winthrop 2017",0,13,5.76206358169242,0.914256758790491,5.68812867791291,-7.91416296686358,10.7194335643266,0.445675529897602,1.66262162210972,10
"377","cincinnati 2017",0,6,7.04985122079056,7.05200569580203,5.54006274509804,-5.95996588188784,12.3078156312625,0.629348391674116,1.93069729084527,9
"378","kansas-state 2017",0,11,4.98979162547252,5.55597673742367,5.6483918128655,-8.40204147001751,10.9805784504721,0.514080023262576,1.63329653969177,8
"379","ucla 2017",0,3,6.89800556554691,7.01926990373608,6.24055538123627,-6.81808540505404,9.75577274644916,0.533110199190554,2.08205088750145,8
"380","kent-state 2017",0,14,4.7859258007296,0.655727234310475,5.23347076461769,-7.45211269178169,9.18032625509774,0.688860938919284,1.57869046680949,10
"381","dayton 2017",0,7,5.96557629066458,4.85866899343093,5.73703267973856,-7.49863582233196,11.6035011293966,0.406225937026667,1.69722659928178,9
"382","wichita-state 2017",0,10,8.21288321996444,7.90459252008864,5.88519852941177,-6.81272815085191,10.1538301662708,0.57550168384024,1.94510130928693,10
"383","kentucky 2017",0,2,6.72191634463625,8.13884537236348,5.65255902999362,-6.57368221082453,9.9215355552557,0.574070549807879,1.84024607208239,9
"384","northern-kentucky 2017",0,15,5.23786359097716,0.820070099401664,5.65278219395866,-7.85890462091737,7.71874710692794,0.575781406445537,1.65202305520372,9
"385","kansas 2016",0,1,6.89715265534846,8.46540182869699,5.97164163464897,-7.60228436368502,8.65819637589549,0.542818128434332,1.85582800858632,9
"386","austin-peay 2016",0,16,3.84771017085754,-1.44377531480539,5.60833270034181,-8.34290185014332,9.0001443001443,0.571279731047263,1.58662454832719,9
"387","colorado 2016",0,8,5.05778401215278,4.44841292643416,5.35583000798085,-7.86500974209498,9.09673735725938,0.617537897793499,1.58480144922437,9
"388","connecticut 2016",0,9,6.24614245217787,6.23863683232538,5.5854780876494,-7.06824049508494,11.1663168487637,0.503532962815428,1.74901510833719,9
"389","maryland 2016",0,5,6.02029245811774,6.24161595692798,5.97133762788935,-8.14630254690517,10.9082334474886,0.48984897156921,1.80362313320086,9
"390","south-dakota-state 2016",0,12,5.64211631572341,2.29375433060723,5.62057536466775,-7.35593357081019,6.66482304274552,0.517311981805473,1.61907830234523,9
"391","california 2016",0,4,5.57411539576816,5.87574823553512,5.54499593165175,-7.75854842277566,8.147661571061,0.562662334582323,1.63860784673249,9
"392","hawaii 2016",0,13,6.33109006232912,3.75059943610043,5.61682338996444,-7.59481883024338,10.4267667576585,0.547668055480291,1.68493547773896,9
"393","arizona 2016",0,6,6.58313749110083,6.80897576039298,5.79601724813799,-7.6685510918811,8.47076086956522,0.594699874617793,1.8107220157432,8
"394","wichita-state 2016",0,11,7.17351601736508,6.93284554402961,5.36240306582507,-6.05262593383532,11.5289477963897,0.501892204907919,1.74444617648403,9
"395","miami-fl 2016",0,3,5.7506558576908,6.5793823557722,5.82092932448262,-7.21222231076997,9.14629281688105,0.509528130404823,1.79525536260163,9
